Entropy,Compression Ratio
13.15050759,26.60824146
13.1501439,26.62889823
13.15264037,26.61262834
13.15200179,26.61503744
13.15161728,26.60445786
13.15234927,26.61822156
13.15252976,26.61684455
13.15091974,26.60377005
13.15034618,26.62528098
13.15222699,26.6277785
13.15289258,26.63941105
13.15243079,26.63406743
13.15080699,26.6176191
13.1508692,26.63604949
13.15225222,26.63975587
13.14917083,26.63113797
13.15213769,26.61013366
13.15027228,26.58821782
13.14962245,26.61916834
13.15101497,26.62183689
13.15254529,26.64173878
13.15171051,26.61013366
13.15124234,26.65545478
13.15163476,26.62450598
13.14943754,26.62218126
13.14992991,26.59371487
13.15081866,26.65416022
13.15186781,26.58976363
13.1521241,26.63975587
13.15182509,26.62407545
13.15059897,26.62528098
13.15251424,26.62235345
13.15196878,26.62648662
13.15143857,26.64027313
13.15179596,26.59603462
13.15148325,26.64122147
13.14933437,26.62485042
13.15266559,26.61916834
13.1523648,26.61150998
13.1518814,26.63837663
13.15273544,26.59990177
13.15010111,26.6254532
13.14974505,26.63484298
13.15196878,26.62114818
13.15107522,26.60789745
13.14910657,26.61925441
13.15159203,26.64527426
13.15018086,26.6108218
13.15186781,26.60170683
13.15102858,26.61219819
13.15087892,26.60462982
13.15138806,26.63329192
13.15034035,26.61116588
13.15126954,26.6519166
13.15067674,26.60617754
13.15233375,26.61297247
13.15141526,26.60402797
13.14923702,26.64389445
13.15115295,26.63837663
13.15161145,26.59792509
13.14995714,26.60875749
13.15136863,26.62855368
13.15061453,26.63036263
13.14939277,26.63596331
13.15117044,26.61452117
13.15098193,26.58984952
13.1498871,26.6365666
13.14946674,26.62045951
13.14997465,26.64699923
13.15144828,26.63992829
13.15206003,26.63217182
13.14953292,26.59835478
13.15016724,26.65433282
13.1514949,26.60523169
13.14944533,26.63587713
13.14909294,26.62312832
13.14948621,26.60781145
13.15073118,26.60918753
13.15061064,26.61125191
13.15170662,26.56899601
13.15134531,26.61804943
13.15191053,26.66486574
13.1507895,26.6290705
13.15035396,26.59122374
13.15177654,26.62562543
13.15093723,26.60935955
13.1512093,26.61796336
13.15021393,26.6453605
13.15052314,26.62106209
13.15100137,26.62252564
13.14941808,26.61624215
13.15205615,26.62502264
13.15011083,26.61228422
13.15074479,26.59895636
13.1525841,26.61133793
13.14946285,26.62898436
13.15079144,26.6526932
13.14992991,26.62157862
13.15105967,26.61030569
13.15045508,26.63113797
13.15226969,26.61787729
13.15107522,26.62691723
13.15092362,26.63475681
13.14977814,26.62243954
13.15103246,26.59294171
13.1514308,26.59706575
13.15037535,26.60970359
13.15151044,26.61073578
13.15152404,26.63510151
13.15179984,26.60583359
13.15126177,26.62269783
13.15196684,26.62097601
13.15009527,26.63070722
13.15012445,26.61959871
13.15030534,26.60505972
13.15142497,26.61245628
13.14984235,26.62398934
13.15279946,26.65726739
13.14915135,26.66141141
13.15121125,26.61753304
13.15073701,26.64104904
13.15144245,26.62063167
13.15212022,26.62209517
13.15258022,26.63165489
13.15118016,26.64518802
13.15238033,26.62932892
13.15014779,26.62424766
13.15101497,26.64208367
13.15017891,26.60377005
13.14986181,26.57568616
13.15055231,26.5966361
13.15171051,26.59053661
13.15160174,26.64855189
13.1513084,26.65208917
13.15033062,26.66866654
13.15053481,26.63949726
13.150945,26.58143552
13.14871315,26.61787729
13.15179207,26.6200291
13.15069035,26.61194011
13.14965748,26.62760624
13.15098388,26.59775322
13.14998244,26.60755345
13.15153375,26.64070418
13.15076617,26.60523169
13.15000773,26.62097601
13.15060481,26.63079337
13.15047453,26.62450598
13.14984429,26.62269783
13.15084198,26.63294727
13.14994158,26.59010717
13.15029172,26.64303214
13.15122291,26.61667243
13.15151627,26.61228422
13.15210469,26.63208567
13.1502995,26.60841347
13.15127925,26.62485042
13.15044731,26.63087952
13.15047842,26.62045951
13.1535558,26.60282437
13.15124817,26.64924201
13.14994936,26.6254532
13.14965748,26.63355042
13.14961856,26.63889383
13.15104801,26.59534724
13.15165612,26.64035934
13.15110631,26.60755345
13.14977619,26.62924278
13.15246184,26.64044555
13.15164641,26.64596422
13.14993769,26.65674948
13.15120736,26.657699
13.15147354,26.603942
13.15179402,26.60514571
13.14997854,26.64760302
13.14855146,26.61675849
13.14963997,26.6271756
13.14939861,26.64484306
13.15125205,26.63087952
13.15174547,26.65355613
13.15080311,26.6246782
13.1512676,26.61116588
13.15069813,26.62381713
13.15018669,26.60523169
13.15032479,26.6630521
13.15158426,26.62691723
13.15051731,26.60196471
13.14971586,26.63113797
13.15250259,26.61667243
13.15136669,26.60377005
13.14976257,26.63079337
13.15025477,26.64406692
13.15176294,26.603942
13.15083032,26.60591958
13.15145799,26.64070418
13.1509003,26.62528098
13.15201344,26.6183937
13.15242885,26.60996163
13.15279558,26.6318272
13.15132394,26.62192298
13.15061064,26.63303343
13.15079922,26.63932485
13.14969057,26.62665886
13.15083615,26.65079494
13.15087309,26.62218126
13.15096055,26.61366076
13.15041619,26.62416155
13.15360232,26.61968479
13.15083421,26.59732355
13.15223863,26.64872441
13.1510519,26.62752011
13.15159009,26.62708948
13.15161145,26.62941506
13.15139777,26.62993191
13.15050564,26.61856583
13.15166972,26.63423977
13.15132006,26.64553299
13.15068063,26.63251646
13.14965554,26.61107986
13.15123262,26.60806945
13.15320873,26.61744697
13.15131811,26.62218126
13.15071174,26.6526932
13.15179013,26.65260691
13.15234345,26.64717174
13.15167555,26.60454384
13.15206586,26.63958346
13.15026255,26.64674047
13.15000578,26.6186519
13.15077589,26.6290705
13.15261708,26.59758135
13.15053675,26.64389445
13.15046092,26.62407545
13.15161145,26.59586277
13.15044342,26.61856583
13.15120542,26.61658638
13.14932463,26.60282437
13.15103829,26.6444981
13.14993185,26.60910152
13.15146382,26.61736091
13.14973532,26.6264005
13.15241914,26.6027384
13.15198043,26.6264005
13.15030145,26.63630804
13.15027422,26.59380078
13.1504298,26.62562543
13.14949399,26.62846755
13.15204644,26.60720946
13.15125011,26.64906948
13.15033257,26.60815546
13.15155124,26.63742849
13.15048814,26.61064976
13.15095278,26.63096567
13.15308461,26.58272303
13.15253752,26.63984208
13.15187169,26.61908226
13.15005636,26.62381713
13.15026061,26.60531767
13.15078561,26.63337809
13.15070591,26.59990177
13.15124622,26.60643552
13.15118987,26.6009332
13.15002329,26.62373103
13.14978397,26.60987562
13.15159397,26.63148258
13.15169885,26.63329192
13.14938888,26.61684455
13.14914162,26.61297247
13.15041619,26.6022226
13.15173187,26.61357472
13.15058536,26.61873798
13.15326497,26.64613672
13.15268694,26.59637832
13.15139583,26.65226175
13.15145411,26.61520953
13.15114907,26.63854903
13.14923313,26.66262032
13.15167555,26.65088121
13.14916693,26.61899619
13.15122679,26.62364493
13.14962829,26.62416155
13.15120542,26.66832097
13.14984819,26.64372198
13.14845014,26.63975587
13.15176683,26.60669349
13.1524172,26.61847977
13.15291004,26.63406743
13.1485573,26.60841347
13.15089835,26.63906624
13.15073312,26.62519486
13.14842091,26.61013366
13.15030534,26.64216989
13.15251424,26.59457399
13.1508517,26.63708373
13.15143857,26.61400491
13.15203868,26.60849947
13.15122874,26.6277785
13.15025866,26.63329192
13.15014779,26.62364493
13.15113546,26.62183689
13.14970224,26.6318272
13.15084782,26.63673897
13.15052703,26.65183032
13.15093723,26.59079428
13.1500408,26.60540366
13.15221534,26.62269783
13.15186781,26.64656796
